Missing e valori unici per colonna:
                  attribute  missing_count  unique_count
60  vehicle_damage_category        3000040           NaN
9      combine_fuel_economy        3000040           NaN
30             is_certified        3000040           0.0
2                       bed        2980472           3.0
6                     cabin        2936507           4.0
33                is_oemcpo        2864678           1.0
31                   is_cpo        2817142           1.0
3                bed_height        2570942           1.0
4                bed_length        2570942          83.0
46              owner_count        1517013           NaN
17                    fleet        1426595           2.0
54              theft_title        1426595           NaN
29                    isCab        1426595           2.0
24            has_accidents        1426595           2.0
18            frame_damaged        1426595           2.0
49                  salvage        1426595           NaN
20           franchise_make         572635          48.0
55                   torque         517793           NaN
26     highway_fuel_economy         491285           NaN
8         city_fuel_economy         491285           NaN
47                    power         481426           NaN
28           interior_color         383989       45724.0
40         main_picture_url         369093     2415855.0
41            major_options         200048           NaN
14      engine_displacement         172386           NaN
27               horsepower         172386           NaN
1              back_legroom         159269         219.0
63                wheelbase         159269           NaN
43          maximum_seating         159269           NaN
64                    width         159269           NaN
35                   length         159269         836.0
25                   height         159269         472.0
21            front_legroom         159269         101.0
22         fuel_tank_volume         159269         182.0
62     wheel_system_display         146732           NaN
61             wheel_system         146732           NaN
44                  mileage         144387           NaN
59                trim_name         116294           NaN
58                   trimId         115827           NaN
15              engine_type         100581          39.0
13         engine_cylinders         100581          39.0
23                fuel_type          82724           8.0
12              description          77901     2519325.0
56             transmission          64185           NaN
57     transmission_display          64185           NaN
16           exterior_color          49956       28663.0
51            seller_rating          40872           NaN
5                 body_type          13543           9.0
52                    sp_id             96           NaN
53                  sp_name              0           NaN
